case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,0.0,0.0,0.0,0.0,2.1835355759736513e-10
1,98,0.05,0.0898888111114502,0.0898888111114502,0.0,1.0841402804908241e-11,2.074518281566482e-10
1,98,0.1,0.15209217369556427,0.15209217369556427,0.0,2.1790974802986148e-11,1.9660876973640947e-10
1,98,0.15000000000000002,0.24399062991142273,0.24399062991142273,0.0,3.272113298507244e-11,1.856595803099765e-10
1,98,0.2,0.3367406576871872,0.3367406576871872,0.0,4.359686505723662e-11,1.747025287713e-10
1,98,0.25,0.44430263340473175,0.44430263340473175,0.0,5.450303108251411e-11,1.6377745325219328e-10
1,98,0.30000000000000004,0.5504644960165024,0.5504644960165024,0.0,6.541394893421662e-11,1.5290814437763763e-10
1,98,0.35000000000000003,0.6746235489845276,0.6746235489845276,0.0,7.62169721761085e-11,1.419474609829508e-10
1,98,0.4,0.7962317764759064,0.7962317764759064,0.0,8.715671721698502e-11,1.3103173126509488e-10
1,98,0.45,0.9186939895153046,0.9186939895153046,0.0,9.817673556442201e-11,1.201215695675181e-10
1,98,0.5,1.090950921177864,1.090950921177864,0.0,1.0899775241258971e-10,1.0917343319661161e-10
1,98,0.55,1.2492905408143997,1.2492905408143997,0.0,1.1983321568372474e-10,9.823714427636557e-11
1,98,0.6000000000000001,1.4041447043418884,1.4041447043418884,0.0,1.3073226808764114e-10,8.731933808857638e-11
1,98,0.65,1.5600344836711884,1.5600344836711884,0.0,1.4166400910510877e-10,7.641449583008941e-11
1,98,0.7000000000000001,1.7221635282039642,1.7221635282039642,0.0,1.5257858501230582e-10,6.550198026508759e-11
1,98,0.75,1.9023349732160568,1.9023349732160568,0.0,1.6350546696309755e-10,5.458526146272222e-11
1,98,0.8,2.062758445739746,2.062758445739746,0.0,1.7446833459809147e-10,4.362205889229019e-11
1,98,0.8500000000000001,2.25698421895504,2.25698421895504,0.0,1.853529115572226e-10,3.2757887319729605e-11
1,98,0.9,2.4720780551433563,2.4720780551433563,0.0,1.9619789435682278e-10,2.1802191670971392e-11
1,98,0.9500000000000001,2.680804803967476,2.680804803967476,0.0,2.071770315973104e-10,1.091204567316652e-11
1,98,1.0,2.8950936794281006,2.8950936794281006,0.0,2.1815025249066039e-10,0.0
1,94,0.0,0.0,0.0,0.0,0.0,2.1808482920483985e-10
1,94,0.05,0.025948524475097656,0.025948524475097656,0.0,1.096027047032744e-11,2.072716370171067e-10
1,94,0.1,0.020406052470207214,0.020406052470207214,0.0,2.1966860792492296e-11,1.9629279357666103e-10
1,94,0.15000000000000002,0.03399074077606201,0.03399074077606201,0.0,3.283439980811502e-11,1.8543894238117951e-10
1,94,0.2,0.03455519676208496,0.03455519676208496,0.0,4.382142865938866e-11,1.744821031542837e-10
1,94,0.25,0.04967592656612396,0.04967592656612396,0.0,5.475677925570869e-11,1.6359940265784716e-10
1,94,0.30000000000000004,0.05502283573150635,0.05502283573150635,0.0,6.567686239545065e-11,1.5267894771615168e-10
1,94,0.35000000000000003,0.04129569232463837,0.04129569232463837,0.0,7.648248207448575e-11,1.4180473345375766e-10
