case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,3.3849595189094543,3.3849595189094543,0.0,0.0,2.158277535944777e-10
1,98,0.05,3.1687906980514526,3.1687906980514526,0.0,1.0829880972574068e-11,2.0502281051741687e-10
1,98,0.1,2.9581681340932846,2.9581681340932846,0.0,2.1637231532825083e-11,1.9423115510853278e-10
1,98,0.15000000000000002,2.7526444494724274,2.7526444494724274,0.0,3.2444942203784645e-11,1.8344342472364185e-10
1,98,0.2,2.551513969898224,2.551513969898224,0.0,4.325773213085978e-11,1.726510369244447e-10
1,98,0.25,2.355465441942215,2.355465441942215,0.0,5.406572450679249e-11,1.618622158046878e-10
1,98,0.30000000000000004,2.1642043590545654,2.1642043590545654,0.0,6.487724288539417e-11,1.510678847349569e-10
1,98,0.35000000000000003,1.977839633822441,1.977839633822441,0.0,7.569006022794458e-11,1.402723574662081e-10
1,98,0.4,1.7962764501571655,1.7962764501571655,0.0,8.649603233317196e-11,1.2948175413576678e-10
1,98,0.45,1.6198723018169403,1.6198723018169403,0.0,9.72961607072046e-11,1.1869113099181644e-10
1,98,0.5,1.4480551481246948,1.4480551481246948,0.0,1.0811430648674154e-10,1.0789871793824052e-10
1,98,0.55,1.281645029783249,1.281645029783249,0.0,1.1892659315986769e-10,9.710218414823286e-11
1,98,0.6000000000000001,1.1189894676208496,1.1189894676208496,0.0,1.2974563225331176e-10,8.631234780657039e-11
1,98,0.65,0.9620071202516556,0.9620071202516556,0.0,1.405190400067243e-10,7.555540194972499e-11
1,98,0.7000000000000001,0.8110010623931885,0.8110010623931885,0.0,1.51354417027976e-10,6.47305671390394e-11
1,98,0.75,0.6636987179517746,0.6636987179517746,0.0,1.621602682510996e-10,5.393925330391414e-11
1,98,0.8,0.5212661623954773,0.5212661623954773,0.0,1.7296715982664423e-10,4.315229585666251e-11
1,98,0.8500000000000001,0.38388925790786743,0.38388925790786743,0.0,1.8377132386546674e-10,3.2361489526670425e-11
1,98,0.9,0.2528720796108246,0.2528720796108246,0.0,1.9458273737167467e-10,2.1586126587620696e-11
1,98,0.9500000000000001,0.12283076345920563,0.12283076345920563,0.0,2.0536905408823887e-10,1.0807727600703756e-11
1,98,1.0,0.0,0.0,0.0,2.1621299298343714e-10,0.0
1,94,0.0,0.22823110222816467,0.22823110222816467,0.0,0.0,2.1488728255561434e-10
1,94,0.05,0.19045105576515198,0.19045105576515198,0.0,1.0755468206687127e-11,2.041530847647711e-10
1,94,0.1,0.1571897566318512,0.1571897566318512,0.0,2.1514269260199776e-11,1.9340107244252808e-10
1,94,0.15000000000000002,0.12669618427753448,0.12669618427753448,0.0,3.2273122648967194e-11,1.826602570173411e-10
1,94,0.2,0.09885101020336151,0.09885101020336151,0.0,4.303445631956314e-11,1.7191936437969175e-10
1,94,0.25,0.07433348894119263,0.07433348894119263,0.0,5.37864492408292e-11,1.611715802584589e-10
1,94,0.30000000000000004,0.053327515721321106,0.053327515721321106,0.0,6.45448062545827e-11,1.5042653556810766e-10
1,94,0.35000000000000003,0.0372999906539917,0.0372999906539917,0.0,7.529608462784913e-11,1.3967284827534473e-10
1,94,0.4,0.023216605186462402,0.023216605186462402,0.0,8.605319983075103e-11,1.2892783642225353e-10
1,94,0.45,0.012314751744270325,0.012314751744270325,0.0,9.682018111025991e-11,1.1818675252889524e-10
1,94,0.5,0.004781320691108704,0.004781320691108704,0.0,1.0757042252875363e-10,1.0743916844461964e-10
1,94,0.55,0.0006319433450698853,0.0006319433450698853,0.0,1.183326744112764e-10,9.6694753084903e-11
1,94,0.6000000000000001,0.0,0.0,0.0,1.290986606608553e-10,8.594882627256845e-11
1,94,0.65,0.0027264654636383057,0.0027264654636383057,0.0,1.3984504092426876e-10,7.520406500973521e-11
1,94,0.7000000000000001,0.008419722318649292,0.008419722318649292,0.0,1.5060262933503608e-10,6.446187851294729e-11
1,94,0.75,0.01722046732902527,0.01722046732902527,0.0,1.6135758587110553e-10,5.371731746156746e-11
1,94,0.8,0.02927282452583313,0.02927282452583313,0.0,1.721458831313191e-10,4.296146339117567e-11
1,94,0.8500000000000001,0.045666515827178955,0.045666515827178955,0.0,1.8287388832798823e-10,3.2228750000655796e-11
1,94,0.9,0.06505103409290314,0.06505103409290314,0.0,1.9363829280042606e-10,2.1473034821812063e-11
1,94,0.9500000000000001,0.08643448352813721,0.08643448352813721,0.0,2.0441794319256717e-10,1.0728698938039508e-11
1,94,1.0,0.11216841638088226,0.11216841638088226,0.0,2.1515413625834273e-10,0.0
1,67,0.0,4.24259752035141,4.24259752035141,0.0,0.0,2.1654978277722113e-10
1,67,0.05,3.9790291488170624,3.9790291488170624,0.0,1.0864868459123845e-11,2.0571337532312383e-10
1,67,0.1,3.7210534512996674,3.7210534512996674,0.0,2.1714247785675198e-11,1.9487752282106496e-10
1,67,0.15000000000000002,3.4686223715543747,3.4686223715543747,0.0,3.2564155950064376e-11,1.8404964590011072e-10
1,67,0.2,3.221776843070984,3.221776843070984,0.0,4.34118173110802e-11,1.7322346221395693e-10
1,67,0.25,2.9801338016986847,2.9801338016986847,0.0,5.4255836700309404e-11,1.6239580301797398e-10
1,67,0.30000000000000004,2.7436137348413467,2.7436137348413467,0.0,6.510969648432668e-11,1.515646153289418e-10
