case,seed,f_value,stat_total,stat_gamma,stat_nu,int_PD,int_IC
1,98,0.0,3.7491432577371597,3.7491432577371597,0.0,0.0,4.657131536430397e-11
1,98,0.05,3.2353282123804092,3.2353282123804092,0.0,2.324749288030062e-12,4.424437836269536e-11
1,98,0.1,2.75952585041523,2.75952585041523,0.0,4.648346866039722e-12,4.191784153105337e-11
1,98,0.15000000000000002,2.3217576444149017,2.3217576444149017,0.0,6.9716809512035985e-12,3.9590973401383714e-11
1,98,0.2,1.921529844403267,1.921529844403267,0.0,9.295149634171171e-12,3.726510305914907e-11
1,98,0.25,1.5593359917402267,1.5593359917402267,0.0,1.161870237000178e-11,3.4938825070279034e-11
1,98,0.30000000000000004,1.2342051416635513,1.2342051416635513,0.0,1.3935694872189166e-11,3.262085244416352e-11
1,98,0.35000000000000003,0.9461652189493179,0.9461652189493179,0.0,1.6254644407977367e-11,3.0298425839961474e-11
1,98,0.4,0.697675958275795,0.697675958275795,0.0,1.8584966398647992e-11,2.7963563181917856e-11
1,98,0.45,0.4956803321838379,0.4956803321838379,0.0,2.0911123447106812e-11,2.5627140314271418e-11
1,98,0.5,0.30324147641658783,0.30324147641658783,0.0,2.322039813378919e-11,2.3318803696471752e-11
1,98,0.55,0.16945353150367737,0.16945353150367737,0.0,2.5530788627474692e-11,2.100327630433398e-11
1,98,0.6000000000000001,0.07084926962852478,0.07084926962852478,0.0,2.7864291389583602e-11,1.8664163471639495e-11
1,98,0.65,0.020213693380355835,0.020213693380355835,0.0,3.019080066822682e-11,1.63338274073635e-11
1,98,0.7000000000000001,0.002616390585899353,0.002616390585899353,0.0,3.251499462683791e-11,1.4005792648278832e-11
1,98,0.75,0.0,0.0,0.0,3.483238863744721e-11,1.1679730296542776e-11
1,98,0.8,0.03865480422973633,0.03865480422973633,0.0,3.712887876775443e-11,9.361991740672742e-12
1,98,0.8500000000000001,0.05846633017063141,0.05846633017063141,0.0,3.941595542278708e-11,7.06189204073718e-12
1,98,0.9,0.08746522665023804,0.08746522665023804,0.0,4.16925400670129e-11,4.752519975578974e-12
1,98,0.9500000000000001,0.028866678476333618,0.028866678476333618,0.0,4.393111921069666e-11,2.4944269362413915e-12
1,98,1.0,0.9305782914161682,0.9305782914161682,0.0,4.6496389916944e-11,0.0
1,94,0.0,2.029300317168236,2.029300317168236,0.0,0.0,4.756986982676782e-11
1,94,0.05,1.6765844225883484,1.6765844225883484,0.0,2.334783935228727e-12,4.5190573682171705e-11
1,94,0.1,1.357509896159172,1.357509896159172,0.0,4.666897592107971e-12,4.28122089101343e-11
1,94,0.15000000000000002,1.07217475771904,1.07217475771904,0.0,6.998678484538373e-12,4.043403197586842e-11
1,94,0.2,0.8204756081104279,0.8204756081104279,0.0,9.330185604174361e-12,3.8055858043211775e-11
1,94,0.25,0.6022506058216095,0.6022506058216095,0.0,1.1661939753086133e-11,3.567757604788718e-11
1,94,0.30000000000000004,0.4178312420845032,0.4178312420845032,0.0,1.3993409085320903e-11,3.329927333390923e-11
1,94,0.35000000000000003,0.26701921224594116,0.26701921224594116,0.0,1.632489661823063e-11,3.092113646871285e-11
1,94,0.4,0.1492552012205124,0.1492552012205124,0.0,1.8653506662522017e-11,2.8543490553773552e-11
1,94,0.45,0.06526900827884674,0.06526900827884674,0.0,2.098179476053726e-11,2.616617317939595e-11
1,94,0.5,0.01612211763858795,0.01612211763858795,0.0,2.3317738018149987e-11,2.3786461058363888e-11
1,94,0.55,0.0,0.0,0.0,2.5649936077401696e-11,2.1408638996315783e-11
1,94,0.6000000000000001,0.017314687371253967,0.017314687371253967,0.0,2.797948682186532e-11,1.9030992826653584e-11
1,94,0.65,0.06881290674209595,0.06881290674209595,0.0,3.0311443017083764e-11,1.6652054090967755e-11
1,94,0.7000000000000001,0.15321792662143707,0.15321792662143707,0.0,3.2641364376707074e-11,1.4274607094083516e-11
1,94,0.75,0.27258506417274475,0.27258506417274475,0.0,3.497401309797207e-11,1.1895493303280164e-11
1,94,0.8,0.4205288589000702,0.4205288589000702,0.0,3.7300128861120543e-11,9.522001847744078e-12
1,94,0.8500000000000001,0.6058338284492493,0.6058338284492493,0.0,3.963000598322882e-11,7.1432096002763724e-12
