e_ref,dnde,dnde_err
1.16,1.1816290130796673e-11,1.0404280618311535e-12
1.8,4.6913580246913574e-12,4.012345679012345e-13
3.13,1.5413038818401743e-12,1.1228041523339016e-13
5.59,3.872235431914261e-13,2.560155657463974e-14
10.13,9.121304580434605e-14,6.1393396214463695e-15
19.0,1.7617728531855958e-14,1.4681440443213294e-15
34.79,3.511398122236478e-15,3.800572085244188e-16
60.89,7.498127962889985e-16,1.2406974327084146e-16
105.4,2.241393588714178e-16,4.770837759110499e-17
180.8,3.823958414911112e-17,1.866091706476623e-17
