e_ref,dnde,dnde_err
0.23,5.238620092742114e-10,9.851909408647896e-11
0.27,3.4161345963097997e-10,4.426420015769841e-11
0.32,2.6087557459660213e-10,2.145518744345887e-11
0.38,1.6943708844796528e-10,1.0416923039785622e-11
0.45,1.2205617745612155e-10,6.287742475012324e-12
0.53,7.510252998105153e-11,3.844005232757963e-12
0.63,5.393896731015473e-11,2.2173161489014047e-12
0.75,3.7837415011397685e-11,1.4868661617382084e-12
0.89,2.5293831749803113e-11,9.613232004598068e-13
1.05,1.6644024198562034e-11,6.340580647071251e-13
1.25,1.2063588739117762e-11,4.3540767303438277e-13
1.48,9.260821992329016e-12,3.048947548243707e-13
1.76,6.024700456042641e-12,2.035099485151527e-13
2.08,4.457808579901015e-12,1.7167612330363135e-13
2.47,2.6803838409230104e-12,1.2685786117345547e-13
2.93,1.8466648474799164e-12,8.506290832879931e-14
3.47,1.3425498511617383e-12,6.116636387532243e-14
4.12,8.78806124985933e-13,4.706576736326336e-14
4.88,6.552242628893404e-13,3.223703373415555e-14
5.79,4.356606511207813e-13,2.4389549272146306e-14
6.86,2.665860576729537e-13,1.8302923362620702e-14
8.14,1.6390418580193248e-13,1.4223868997753913e-14
9.65,9.517509609100146e-14,1.025478148022762e-14
11.44,7.535197578157861e-14,7.582888702070253e-15
13.56,2.8309765883195173e-14,5.770575779548177e-15
16.08,2.3342318549523678e-14,4.031196688490645e-15
19.99,5.966606280739198e-15,2.202333731895882e-15
24.62,5.8487336586689795e-15,1.801986602582872e-15
29.19,2.0437398802432756e-15,1.1500615096709473e-15
34.61,2.6469767092498876e-15,6.617441773124719e-16
